,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
5989,220807934,3,1630,West LA,90025,BURGLARY FROM VEHICLE,
5990,220407316,7,1450,Hollenbeck,90032,VIOLATION OF RESTRAINING ORDER,
5991,220208464,7,0010,Rampart,90017,THEFT OF IDENTITY,
5992,221408880,5,1830,Pacific,90066,BURGLARY,
5993,221209506,6,2030,77th Street,90044,BURGLARY,
5994,220907740,5,1800,Van Nuys,91604,BURGLARY FROM VEHICLE,
5995,221309210,6,2045,Newton,90007,BURGLARY FROM VEHICLE,
5996,221309196,7,0020,Newton,90037,ROBBERY,OTHER KNIFE
5997,221107593,6,1530,Northeast,90027,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
5998,221007693,7,0445,West Valley,91356,BURGLARY FROM VEHICLE,
5999,221707490,7,1030,Devonshire,91324,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6000,220208467,7,0010,Rampart,90057,THEFT OF IDENTITY,
6001,221408848,5,1340,Pacific,90066,THEFT PLAIN - PETTY ($950 & UNDER),
6002,221309258,6,2100,Newton,90011,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6003,221707496,4,1150,Devonshire,91311,THEFT OF IDENTITY,
6004,220507714,7,1900,Harbor,90501,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6005,221408897,5,1537,Pacific,90066,THEFT PLAIN - PETTY ($950 & UNDER),
6006,221309247,7,1040,Newton,90011,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6007,221907963,5,1700,Mission,91402,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6008,221408895,7,1354,Pacific,90066,CHILD PORNOGRAPHY,
6009,220308731,3,2200,Southwest,90007,VEHICLE - STOLEN,
6010,221607097,7,1510,Foothill,91331,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6011,220608500,7,1740,Hollywood,90028,VEHICLE - STOLEN,
6012,220109851,7,1230,Central,90012,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
6013,221007696,6,1208,West Valley,91335,THEFT OF IDENTITY,
6014,221808806,7,1405,Southeast,90059,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6015,221808829,7,2045,Southeast,90003,ROBBERY,OTHER CUTTING INSTRUMENT
6016,221309255,7,1430,Newton,90011,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
6017,222008157,6,0100,Olympic,90006,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6018,221408965,7,1905,Pacific,90291,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6019,220109796,2,1217,Central,90012,THEFT OF IDENTITY,
6020,222008185,7,0430,Olympic,90020,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6021,220109826,4,1830,Central,90015,BURGLARY FROM VEHICLE,
6022,221907954,7,0800,Mission,91402,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
6023,220109874,7,2000,Central,90015,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6024,221209535,6,2000,77th Street,90037,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6025,221408900,5,0001,Pacific,90034,THEFT OF IDENTITY,
6026,220807928,1,2300,West LA,90035,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
6027,220109825,5,1830,Central,90017,BURGLARY FROM VEHICLE,
6028,222107767,5,1855,Topanga,91364,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6029,220208443,6,1920,Rampart,90026,VEHICLE - STOLEN,
6030,221808841,7,2230,Southeast,90003,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6031,220808012,7,1830,West LA,90064,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
6032,221209750,3,1201,77th Street,90043,THEFT OF IDENTITY,
6033,220308762,7,2255,Southwest,90016,ROBBERY,VERBAL THREAT
6034,220407332,7,1400,Hollenbeck,90031,VIOLATION OF COURT ORDER,
6035,221107587,6,1100,Northeast,90029,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6036,220907709,7,1600,Van Nuys,91401,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6037,221607091,7,1220,Foothill,91040,RESISTING ARREST,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6038,221309221,7,0700,Newton,90003,VEHICLE - STOLEN,
6039,221707482,7,1900,Devonshire,91324,BURGLARY,
6040,220507676,1,1800,Harbor,90731,VEHICLE - STOLEN,
6041,221309384,7,0825,Newton,90037,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6042,221209507,3,1300,77th Street,90047,BURGLARY FROM VEHICLE,
6043,220608487,7,0830,Hollywood,90027,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6044,221209971,7,0100,77th Street,90037,THEFT OF IDENTITY,
6045,220807942,7,1920,West LA,90035,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6046,221707486,6,1340,Devonshire,91343,"BUNCO, GRAND THEFT",
6047,220907713,7,0930,Van Nuys,91401,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6048,220407298,6,1700,Hollenbeck,90033,VEHICLE - STOLEN,
6049,220707691,6,0650,Wilshire,90019,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
6050,221007660,7,1140,West Valley,91406,BRANDISH WEAPON,OTHER KNIFE
6051,220900673,6,1600,Van Nuys,91405,THEFT OF IDENTITY,
6052,220608449,6,0015,Hollywood,90028,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6053,220907691,2,1700,Van Nuys,91401,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
6054,221507989,7,1750,N Hollywood,91602,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BOTTLE
6055,220907721,6,0330,Van Nuys,91405,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6056,220707710,6,1333,Wilshire,90036,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6057,220308771,7,1150,Southwest,90008,THEFT OF IDENTITY,
6058,220109813,5,1830,Central,90012,BURGLARY FROM VEHICLE,
6059,221309251,7,0830,Newton,90021,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6060,220507661,7,0130,Harbor,90744,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6061,221309296,7,1445,Newton,90011,VIOLATION OF RESTRAINING ORDER,
6062,220208476,7,1735,Rampart,90057,VIOLATION OF COURT ORDER,
6063,222008213,5,0300,Olympic,90005,BRANDISH WEAPON,KITCHEN KNIFE
6064,221209563,7,2206,77th Street,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN FIREARM
6065,221309220,6,1800,Newton,90011,VEHICLE - STOLEN,
6066,220507708,4,1240,Harbor,90731,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
6067,221607120,7,2220,Foothill,91042,INTIMATE PARTNER - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
6068,220608455,6,1200,Hollywood,90038,VEHICLE - STOLEN,
6069,221309202,6,1900,Newton,90037,VEHICLE - STOLEN,
6070,222008184,7,0900,Olympic,90006,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6071,220109849,7,1515,Central,90014,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6072,220109884,7,0705,Central,90015,BIKE - STOLEN,
6073,222008306,4,1238,Olympic,90006,THEFT OF IDENTITY,
6074,220109809,3,1930,Central,90021,THEFT PLAIN - PETTY ($950 & UNDER),
6075,220308733,7,0400,Southwest,90018,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6076,221507999,7,2025,N Hollywood,91605,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6077,220808085,7,1445,West LA,90077,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
6078,220109842,7,1245,Central,90013,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6079,221408852,7,0135,Pacific,90045,VEHICLE - STOLEN,
6080,221408851,7,1130,Pacific,90291,VEHICLE - STOLEN,
6081,221309199,3,1800,Newton,90003,BIKE - STOLEN,
6082,221408857,6,1445,Pacific,90291,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
6083,220208444,6,0709,Rampart,90057,THEFT PLAIN - PETTY ($950 & UNDER),
6084,221408966,7,1905,Pacific,90291,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6085,220907678,7,0040,Van Nuys,91401,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6086,220407293,6,1200,Hollenbeck,90033,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6087,221209978,2,1206,77th Street,90044,THEFT OF IDENTITY,
6088,220608482,5,1800,Hollywood,90028,BURGLARY FROM VEHICLE,
6089,221209530,4,0800,77th Street,90043,THEFT OF IDENTITY,
6090,221808791,7,0656,Southeast,90044,VIOLATION OF RESTRAINING ORDER,
6091,221508016,7,1700,N Hollywood,91602,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
6092,221408822,7,0215,Pacific,90291,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
